NUMBER  NAME        TRIES / CATCHES
[124]	Mr. Mime	1152 / 22
[125]	Scyther		10408 / 63
[126]	Jynx		2810 / 85
[127]	Electabuzz	3583 / 62
[128]	Magmar		7254 / 143
[129]	Pinsir		3889 / 170
[130]	Tauros		203 / 38
[131]	Magikarp	2350 / 2350
[132]	Gyarados	160 / 3
[133]	Lapras		729 / 10
[134]	Ditto		106 / 0
[135]	Eevee		652 / 2
[136]	Vaporeon	265 / 3
[137]	Jolteon		20 / 1
[138]	Flareon		1050 / 18
[139]	Porygon		375 / 11
[140]	Omanyte		1540 / 428
[141]	Omastar		145 / 2
[142]	Kabuto		238 / 56
[143]	Kabutops	28 / 1
[144]	Aerodactyl	326 / 0
[145]	Snorlax		2024 / 37
[146]	Articuno	0 / 0
[147]	Zapdos		0 / 0
[148]	Moltres		0 / 0
[149]	Dratini		370 / 21
[150]	Dragonair	381 / 17
[151]	Dragonite	914 / 8
[152]	Mewtwo		0 / 0
[153]	Mew		0 / 0
[154]	Shiny Venusaur	530 / 11
[155]	Shiny Charizard	2080 / 66
[156]	Shiny Blastoise	644 / 10
[157]	Shiny Butterfree	929 / 67
[158]	Shiny Beedrill	150 / 12
[159]	Shiny Pidgeot	233 / 7
[160]	Shiny Rattata	509 / 64
[161]	Shiny Raticate	94 / 4
[162]	Shiny Fearow	0 / 0
[163]	Shiny Raichu	707 / 29
[164]	Shiny Nidoking	0 / 0
[165]	Shiny Zubat	342 / 24
[166]	Shiny Golbat	82 / 5
[167]	Shiny Oddish	17 / 1
[168]	Shiny Vileplume	3 / 1
[169]	Shiny Paras	73 / 12
[170]	Shiny Parasect	154 / 7
[171]	Shiny Venonat	9 / 4
[172]	Shiny Venomoth	6 / 0
[173]	Shiny Growlithe	195 / 14
[174]	Shiny Arcanine	175 / 6
[175]	Shiny Abra	0 / 0
[176]	Shiny Alakazam	611 / 22
[177]	Shiny Tentacool	105 / 4
[178]	Shiny Tentacruel	78 / 3
[179]	Shiny Golem	0 / 0
[180]	Shiny Farfetch'd	158 / 1
[181]	Shiny Grimer	10 / 1
[182]	Shiny Muk	20 / 2
[183]	Shiny Gengar	259 / 6
[184]	Shiny Onix	1106 / 13
[185]	Shiny Hypno	0 / 0
[186]	Shiny Krabby	163 / 9
[187]	Shiny Kingler	30 / 3
[188]	Shiny Voltorb	300 / 30
[189]	Shiny Electrode	502 / 16
[190]	Shiny Cubone	1126 / 61
[191]	Shiny Marowak	18 / 0
[192]	Shiny Hitmonlee	0 / 0
[193]	Shiny Hitmonchan	0 / 0
[194]	Shiny Tangela	541 / 13
[195]	Shiny Horsea	135 / 14
[196]	Shiny Seadra	35 / 2
[197]	Shiny Scyther	625 / 14
[198]	Shiny Jynx	379 / 12
[199]	Shiny Electabuzz	581 / 21
[200]	Shiny Pinsir	939 / 34
[201]	Shiny Magikarp	2 / 1
[202]	Shiny Gyarados	141 / 6
[203]	Shiny Vaporeon	0 / 0
[204]	Shiny Jolteon	0 / 0
[205]	Shiny Flareon	0 / 0
[206]	Shiny Snorlax	175 / 7
[207]	Shiny Dratini	66 / 2
[208]	Shiny Dragonair	37 / 6
[209]	Shiny Dragonite	113 / 8
[210]	Milotic		615 / 10
[211]	Chikorita	100 / 1
[212]	Bayleef		736 / 11
[213]	Cyndaquil	183 / 10
[214]	Quilava		391 / 13
[215]	Typhlosion	11 / 0
[216]	Totodile	6 / 0
[217]	Croconaw	79 / 1
[218]	Feraligatr	304 / 2
[219]	Sentret		119 / 85
[220]	Furret		76 / 7
[221]	Hoothoot	34 / 25
[222]	Noctowl		6122 / 143
[223]	Ledyba		76 / 73
[224]	Ledian		5 / 0
[225]	Spinarak	336 / 331
[226]	Ariados		470 / 35
[227]	Crobat		448 / 3
[228]	Chinchou	13 / 2
[229]	Lanturn		24 / 0
[230]	Pichu		182 / 71
[231]	Cleffa		66 / 7
[232]	Igglybuff	133 / 16
[233]	Togepi		13 / 0
[234]	Togetic		26 / 1
[235]	Natu		4289 / 1201
[236]	Xatu		10910 / 170
[237]	Mareep		49 / 34
[238]	Flaaffy		180 / 7
[239]	Ampharos	1189 / 8
[240]	Bellossom	58 / 2
[241]	Marill		16 / 0
[242]	Azumarill	13 / 0
[243]	Sudowoodo	785 / 7
[244]	Politoed	96 / 3
[245]	Hoppip		120 / 115
[246]	Skiploom	5 / 1
[247]	Jumpluff	78 / 6
[248]	Aipom		318 / 50
[249]	Sunkern		95 / 95
[250]	Sunflora	246 / 9
[251]	Yanma		4211 / 373
